timestamp,x,y,z
562925,6.825,-121.485,6.335
562944,1.26,-113.155,6.7200003
562963,-3.675,-110.915,6.265
562982,2.625,-115.64,4.8650002
563001,-1.89,-116.585,3.08
563021,-4.8650002,-121.24,1.54
563040,-5.285,-128.24,-1.26
563059,-4.095,-131.705,-4.655
563078,-9.59,-131.285,-7.945
563097,-12.915,-132.37,-10.6050005
563116,-16.555,-125.020004,-13.615
563135,-28.98,-115.29,-18.725
563154,-21.91,-136.5,-23.03
563174,-12.775,-156.835,-26.985
563193,-20.335001,-146.58,-30.03
563212,-24.605,-121.555,-30.905
563231,-14.385,-107.38,-30.52
563250,-3.78,-108.64,-28.455
563269,5.075,-97.825,-24.675
563288,1.61,-79.590004,-19.565
563307,2.66,-69.055,-12.635
563327,-0.35,-69.090004,-4.2
563346,2.1,-62.44,1.365
563365,4.8650002,-43.575,2.45
563384,9.8,-23.59,2.66
563404,16.94,-8.8550005,5.075
563423,19.425,0.525,8.19
563442,17.185,3.22,10.115
563461,8.26,8.365,12.215
563481,4.095,12.04,13.16
563500,12.075,16.625,12.39
563519,7.35,24.78,11.2
563538,4.025,25.655,11.55
563557,9.59,14.665,11.2
563576,13.125,3.57,10.255
563595,1.085,-6.545,7.385
563614,-6.09,-16.765,3.78
563634,-8.68,-26.460001,0.735
563653,-6.86,-39.97,-2.45
563672,-4.795,-55.65,-5.18
563691,-5.705,-67.41,-7.5950003
563710,-17.185,-71.505,-10.43
563729,-14.0,-76.895,-11.97
563748,4.9,-82.18,-14.28
563767,12.985,-88.725,-19.845
563787,21.385,-99.225,-21.105
563806,24.325,-112.770004,-20.055
563825,16.135,-113.645004,-18.76
563844,5.6,-98.315,-17.395
563864,6.755,-83.86,-16.695
563883,9.31,-81.655,-15.190001
563902,23.73,-90.37,-13.93
563921,30.94,-101.36,-13.265
563941,28.105,-107.94,-13.895
563960,22.505,-107.625,-15.085
563979,13.51,-101.64,-16.17
563998,17.99,-101.815,-16.1
564017,17.885,-98.035,-14.245
564036,18.27,-88.62,-11.55
564055,19.845,-80.185,-9.66
564074,22.33,-74.83,-9.52
564094,17.85,-69.125,-8.365
564113,17.92,-61.32,-7.035
564132,18.27,-52.71,-5.915
564151,15.365,-48.125,-4.69
564170,11.83,-42.77,-3.57
564189,8.19,-35.35,-3.045
564208,3.5,-29.925,-2.485
564227,-2.415,-26.32,-1.89
564247,-12.46,-18.27,-3.255
564266,-35.21,-2.975,-5.565
564285,-18.095,-20.44,-3.71
564304,-17.745,-25.27,-2.485
564324,-29.085001,-7.105,-2.94
564343,-19.04,2.765,-1.225
564362,-8.47,7.5950003,3.43
564381,-11.55,7.105,10.29
564401,-2.695,1.33,15.015
564420,-5.53,-6.23,17.78
564439,-11.76,-12.215,17.01
564458,-6.44,-11.2,14.42
564477,-7.42,-6.755,11.235
564496,2.94,-4.445,6.825
564515,6.965,-2.275,3.7450001
564534,1.855,-1.995,3.465
564554,-1.155,-5.845,4.375
564573,3.465,-10.85,4.2
564592,-0.49,-9.03,3.78
564611,3.5,-2.38,2.8
564630,8.12,1.75,1.89
564649,3.185,1.12,0.84000003
564668,-3.605,0.875,-1.4350001
564687,-8.155,3.325,-4.8650002
564707,-11.515,7.21,-8.155
564726,-13.37,10.675,-10.15
564745,-17.045,10.57,-10.185
564764,-17.885,10.71,-9.87
564784,-20.72,12.11,-10.115
564803,-19.845,17.395,-8.12
564822,-26.285,10.99,-5.215
564841,-11.795,14.525,-2.345
564861,-3.08,20.16,-0.77
564880,9.905,16.03,0.245
564899,13.895,11.06,2.8700001
564918,7.07,18.76,6.545
564937,14.35,38.71,8.54
564956,7.98,61.670002,10.185
564975,0.385,63.665,11.9
564994,15.33,49.735,13.335
565014,15.54,43.89,13.3
565033,13.895,47.845,11.97
565052,17.64,58.31,9.94
565071,20.3,68.985,8.365
565090,16.415,75.495,8.505
565109,12.845,80.29,10.255
565128,9.87,89.6,12.67
565147,9.38,100.625,14.21
565167,9.31,111.93,15.47
565186,13.055,116.97,17.605
565205,13.2300005,120.19,20.37
565224,9.52,125.685,23.135
565244,7.735,130.27,24.710001
565263,7.5950003,127.47,24.325
565282,4.445,123.13,22.855
565301,11.13,118.475,19.11
565321,5.88,120.505,13.545
565340,-15.575,132.825,15.4
565359,28.385,114.1,20.02
565378,27.405,94.64,20.405
565397,32.795002,86.695,19.18
565416,46.375,107.625,10.22
565435,39.06,131.04,2.38
565454,29.19,132.58,-0.665
565474,33.075,111.685,-1.085
565493,35.805,96.67,-0.14
565512,28.77,90.58,1.61
565531,22.26,93.205,3.5
565550,25.34,98.315,3.255
565569,27.65,95.935,2.205
565588,26.145,88.13,1.47
565607,19.145,82.81,1.295
565627,15.225,77.035,0.84000003
565646,15.12,72.765,0.07
565665,17.745,67.340004,-0.98
565684,22.19,62.510002,-1.89
565704,23.275,55.055,-3.01
565723,20.055,43.75,-4.235
565742,16.345,30.45,-5.46
565761,19.355,22.295,-6.895
565781,18.06,23.135,-8.4
565800,13.895,22.295,-11.97
565819,13.405,8.54,-15.015
565838,19.6,-3.815,-17.43
565857,24.115,-3.92,-20.65
565876,32.76,-1.96,-23.87
565895,24.29,-17.5,-25.83
565914,31.22,-23.905,-24.815
565934,37.73,-14.91,-21.455
565953,36.435,-0.455,-20.405
565972,49.035,-0.525,-20.405
565991,57.295002,-8.54,-17.710001
566010,57.505,-18.41,-13.405
566029,61.425,-29.155,-8.89
566048,61.285,-36.33,-6.125
566067,48.685,-33.46,-5.95
566087,39.025,-26.005,-6.825
566106,35.105,-22.225,-7.56
566125,41.3,-21.91,-8.015
566144,54.495,-19.915,-7.945
566164,59.045002,-13.125,-8.61
566183,50.085,-3.3600001,-8.995
566202,36.015,5.215,-8.4
