potencia_x,potencia_y,potencia_z,potencia_gx,potencia_gy,potencia_gz,potencia_total_xyz,potencias_totales_gxgygz
0.00194948453635382,0.0117945479955997,0.800427161720427,7.73452752550692,13.8466933209877,0.0339230781830769,0.81417119425238,21.6151439246777
0.000931018038035305,0.00392288499353103,0.00313356746204722,5.77297270765385,13.9202498856615,0.0343282705796154,0.00798747049361355,19.727550863895
0.000947255700856529,0.00366185960693485,0.00327151732242431,5.530356751115,13.6414681286423,0.0340738474784616,0.00788063263021568,19.2058987272358
0.00086664368686067,0.00290755185108748,0.00367282652953719,4.07857155208192,13.9610517897308,0.031331732013077,0.00744702206748534,18.0709550738258
0.000919792418242746,0.00295930185765523,0.00307160965007109,4.42741386297808,13.5758458231038,0.0321986549284616,0.00695070392596907,18.0354583410104
0.000869211333276794,0.00280656096097337,0.00347343916684148,4.01618137471654,13.4969369704885,0.0307003856573077,0.00714921146109164,17.5438187308623
0.000931755579833154,0.00292912660364972,0.00318090711226797,4.10345790059423,13.7758788897692,0.0310301933253847,0.00704178929575084,17.9103669836888
0.000861649668493836,0.00318174967898962,0.00289652763548598,4.57039963802423,13.4318517879,0.0284105778357693,0.00693992698296943,18.03066200376
0.000700471034269627,0.00315530498023515,0.00357601046278057,4.12756213825308,13.2373971636308,0.0324059628388462,0.00743178647728535,17.3973652647227
0.00136497117637549,0.00433458351837845,0.00527162652166201,5.25353502722192,13.7786398401669,0.0368630780053846,0.010971181216416,19.0690379453942
0.00266807150099008,0.00683305898822222,0.0142806455661487,7.91874867453923,14.9476573536123,0.0653301937776923,0.023781776055361,22.9317362219292
0.00207051004152938,0.00428440683583078,0.00594172238624852,6.22173735268615,13.9533719802992,0.0555207706765384,0.0122966392636087,20.2306301036619
0.0010933142965716,0.00265156403670756,0.00307961196940074,3.88860233122038,13.5060679486923,0.0289476934465385,0.0068244903026799,17.4236179733592
0.000692520647400879,0.00288809550069471,0.00351163218698943,3.93101559755962,13.6822417861769,0.0364955781426923,0.00709224833508502,17.6497529618792
0.00086964634339423,0.00248280560838329,0.00338022540329215,3.40368136304269,13.3050077304577,0.0309076935434616,0.00673267735506967,16.7395967870438
0.000793321986677734,0.00260506726624326,0.00305361615589002,3.54949405445115,13.2036248762923,0.0282880779003847,0.00645200540881101,16.7814070086438
0.00106606080833696,0.00257547200362518,0.00294446517363002,3.98974963363308,13.4055331366654,0.03517634743,0.00658599798559215,17.4304591177285
0.000843298116914411,0.002426916530525,0.0032917203295256,3.35135501933077,13.3958368089539,0.02947538552,0.00656193497696501,16.7766672138046
0.000841697296585255,0.00216409340580724,0.00321704954270475,3.37383847477115,13.4247090914731,0.0281184624834616,0.00622284024509724,16.8266660287277
