potencia_x,potencia_y,potencia_z,potencia_total_xyz
163.609668386239,174.53477495866,340.869011604008,679.013454948906
165.195119756314,177.636235010641,343.524460014268,686.355814781223
160.831771516236,166.208313558071,343.9860212748,671.026106349107
162.508548546954,166.492275342446,341.01789802428,670.01872191368
163.125985806771,172.094187797344,349.875288933037,685.095462537151
164.179048852271,169.503451525028,337.149355710951,670.83185608825
163.889216663992,172.538195574738,345.252041529914,681.679453768643
166.163161048398,168.985626102676,352.900593402796,688.04938055387
161.93728238416,168.014521966248,347.455293854244,677.407098204651
162.383600332987,174.448742670221,365.045135172326,701.877478175534
162.733212567928,173.690868444196,374.786402595329,711.210483607453
165.735525858119,176.272676101826,365.501323018473,707.509524978418
162.741303267786,174.818941118293,349.718552153349,687.278796539428
168.266761951728,173.184761195423,343.16366095296,684.615184100111
159.300922848679,173.806229106985,342.410657076101,675.517809031765
163.119229725591,172.674730857667,354.76746904141,690.561429624668
163.663520333169,172.311095505082,350.959778950946,686.934394789197
160.566794001063,176.780513876054,356.150454330701,693.497762207819
162.617494152198,171.75496152065,344.538430079428,678.910885752276
163.172410175125,188.912543214846,330.049571278489,682.13452466846
