potencia_x,potencia_y,potencia_z,potencia_total_xyz
303.659217868053,336.27904824443,349.303282320603,989.241548433086
739.691689249161,1507.99618542691,669.071419486692,2916.75929416276
1907.18948998628,2299.2100059895,786.786682846813,4993.1861788226
2530.73645360037,3648.13314504165,947.265760895025,7126.13535953704
453.848678148994,726.977760036189,361.549806094046,1542.37624427923
361.819596340398,535.494109867961,354.313052970591,1251.62675917895
915.549951445895,1460.02496070753,501.155114504412,2876.73002665784
485.905420580101,842.038944077867,524.853729194478,1852.79809385245
397.165129116972,512.868547816334,431.953130922532,1341.98680785584
322.798394700143,521.218135267827,422.868478083474,1266.88500805144
557.862504272396,825.845133407352,492.74685349734,1876.45449117709
347.374177112519,596.598104896254,423.426724426894,1367.39900643567
773.307950010331,1892.380474024,484.431823817059,3150.12024785139
396.30761852644,571.312765013389,486.943040415243,1454.56342395507
740.503056408406,1024.59652065609,569.209808173611,2334.30938523811
272.818359748757,321.86650774642,357.500513637994,952.185381133172
395.172270564854,791.226239067193,410.617651406453,1597.0161610385
309.090028092036,427.766244439266,392.077517444974,1128.93378997628
2078.64799081299,6947.11485387956,983.440784533904,10009.2036292265
